id,url,lb_type_bien,ville,price,pieces,surface,date_annonce,dependance,annexe,classe_energie,gaz_effet_serre
1262679144,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-1-piece/1262679144A1KIVHAP000,Appartement,Juvisy-sur-Orge (91260),152000,1,30,03/09/2022,NC,Parking,D,E
1262679126,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-2-pieces/1262679126A1KIVHAP000,Appartement,Bonnelles (78830),145000,2,40,03/09/2022,NC,Parking,C,D
1262679001,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-7-pieces/1262679001A1KIVHMN000,Maison,Les Mureaux (78130),577500,7,160,03/09/2022,Terrasse,Box,C,D
1262679298,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-5-pieces/1262679298A1KIVHMN000,Maison,Aubergenville (78410),372000,5,112,02/09/2022,Terrasse,NC,F,C
1262679267,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-4-pieces/1262679267A1KIVHAP000,Appartement,Saint-Ouen-l'Aumône (95310),240000,4,78,02/09/2022,Balcon,Parking,C,B
1262680951,https://www.paruvendu.fr/immobilier/prestige/duplex-triplex/duplex-de-130-m2-environ-3-chambres-avec-jardin-de-160-m2/1262680951A1KIVHDU000,Duplex/triplex,Clamart (92140),649000,5,130,01/09/2022,NC,Cave,C,C
1262679019,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-1-piece/1262679019A1KIVHAP000,Appartement,Le Plessis-Robinson (92350),244000,1,36,01/09/2022,NC,Parking,D,B
1262678976,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-3-pieces/1262678976A1KIVHAP000,Appartement,Pantin (93500),490000,3,61,28/08/2022,Balcon,Cave,E,B
1262678993,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-5-pieces/1262678993A1KIVHMN000,Maison,Pierrefitte-sur-Seine (93380),290000,5,90,25/08/2022,Terrasse,NC,G,F
1262681372,https://www.paruvendu.fr/immobilier/prestige/maison/maisons-saint-remy-les-chevreuse-16-piece-s-650-m2/1262681372A1KIVHMN000,Maison,Saint-Rémy-lès-Chevreuse (78470),2500000,15,650,24/08/2022,NC,NC,NC,NC
