id_emplacement,cd_postal,lb_ville
218,94160,Saint-Mandé 
219,77720,Mormant 
220,78760,Jouars-Pontchartrain 
221,78160,Marly-le-Roi 
222,77420,Champs-sur-Marne 
223,91360,Épinay-sur-Orge 
224,93800,Épinay-sur-Seine 
225,91520,Égly 
226,91450,Soisy-sur-Seine 
227,92210,Saint-Cloud 
228,95210,Saint-Gratien 
229,78540,Marsinval 
230,91310,Montlhéry 
231,78250,Meulan 
232,77515,Faremoutiers 
233,77580,Crécy-la-Chapelle 
234,95570,Moisselles 
235,94320,Thiais 
236,78170,La Celle-Saint-Cloud 
237,77250,Moret-sur-Loing 
238,95520,Osny 
239,92350,Le Plessis-Robinson 
240,78330,Fontenay-le-Fleury 
241,75001,Paris
242,93150,Le Blanc-Mesnil 
243,93400,Saint-Ouen 
244,78500,Sartrouville 
245,78680,Épône 
246,78440,Montalet-le-Bois 
247,95600,Eaubonne 
248,95390,Saint-Prix 
249,95420,Magny-en-Vexin 
250,78920,Ecquevilly 
251,95320,Saint-Leu-la-Forêt 
252,77140,Nemours 
253,77400,Dampmart 
254,94270,Le Kremlin-Bicêtre 
255,78270,Bennecourt 
256,91070,Bondoufle 
257,77,hondevilliers 
258,78550,Bazainville 
259,91100,Villabé 
260,77620,Égreville 
261,77120,Coulommiers 
262,77910,Germigny-l'Évêque 
263,91420,Morangis 
264,91630,Cheptainville 
265,77650,Longueville 
266,77181,Le Pin 
267,78790,Septeuil 
268,91220,Le Plessis-Pâté 
269,77118,Bazoches-lès-Bray 
270,93240,Stains 
271,91670,Angerville 
272,78440,Jambville 
273,78380,Bougival 
274,91600,Savigny-sur-Orge 
275,78640,Neauphle-le-Château 
276,77124,Villenoy 
277,94290,Villeneuve-le-Roi 
278,93420,Villepinte 
279,75116,Paris 
280,77990,Le Mesnil-Amelot 
281,77650,Saint-Loup-de-Naud 
282,95180,Menucourt 
283,75002,Paris
284,77440,Lizy-sur-Ourcq 
285,92230,Gennevilliers 
286,93130,Noisy-le-Sec 
287,77210,Avon 
288,95220,Herblay 
289,78190,Trappes 
290,78550,Richebourg 
291,91590,Cerny 
292,77100,Nanteuil-lès-Meaux 
293,77300,Fontainebleau 
294,77710,Treuzy-Levelay 
295,92270,Bois-Colombes 
296,75004,Paris
297,77690,Montigny-sur-Loing 
298,77710,Lorrez-le-Bocage-Préaux 
299,94440,Marolles-en-Brie 
300,91590,La Ferté-Alais 
301,91590,D'Huison-Longueville 
302,77760,Nanteau-sur-Essonne 
303,77181,Courtry 
304,94240,L'Haÿ-les-Roses 
305,95170,Deuil-la-Barre 
306,75006,Paris
307,93360,Neuilly-Plaisance 
308,94430,Chennevières-sur-Marne 
309,92220,Bagneux 
310,93160,Noisy-le-Grand 
311,91720,Maisse 
312,91,MAISSE 
313,91,MILLY LA FORET 
314,91820,Boutigny-sur-Essonne 
315,95130,Franconville 
316,91840,Soisy-sur-École 
317,91720,Gironville-sur-Essonne 
318,77123,Noisy-sur-École 
319,77130,Marolles-sur-Seine 
320,94,Chevilly Larue 
321,77,Seine Port 
322,77240,Seine-Port 
